Date,Mean_Gauge,Discharge (cumecs),filename
2008-08-25,3.18,462.432,Inundation Boundary (25AUG2008 00 00 00 Value_0).tif
2008-09-03,3.18,460.645,Inundation Boundary (03SEP2008 00 00 00 Value_0).tif
2004-07-28,3.185,857.0,Inundation Boundary (28JUL2004 00 00 00 Value_0).tif
2008-07-06,3.195,423.576,Inundation Boundary (06JUL2008 00 00 00 Value_0).tif
2008-07-27,3.2,540.429,Inundation Boundary (27JUL2008 00 00 00 Value_0).tif
2007-07-23,3.21,481.768,Inundation Boundary (23JUL2007 00 00 00 Value_0).tif
2007-09-28,3.215,434.632,Inundation Boundary (28SEP2007 00 00 00 Value_0).tif
2004-09-16,3.23,376.5,Inundation Boundary (16SEP2004 00 00 00 Value_0).tif
2005-07-05,3.23,9490.973,Inundation Boundary (05JUL2005 00 00 00 Value_0).tif
2008-09-27,3.25,478.876,Inundation Boundary (27SEP2008 00 00 00 Value_0).tif
2011-07-08,3.26,404.336,Inundation Boundary (08JUL2011 00 00 00 Value_0).tif
2002-09-28,3.27,508.7,Inundation Boundary (28SEP2002 00 00 00 Value_0).tif
2004-06-18,3.275,638.9,Inundation Boundary (18JUN2004 00 00 00 Value_0).tif
2004-09-11,3.28,428.8,Inundation Boundary (11SEP2004 00 00 00 Value_0).tif
2011-07-13,3.285,495.113,Inundation Boundary (13JUL2011 00 00 00 Value_0).tif
2003-07-13,3.305,495.0,Inundation Boundary (13JUL2003 00 00 00 Value_0).tif
2007-07-28,3.305,744.478,Inundation Boundary (28JUL2007 00 00 00 Value_0).tif
2007-08-19,3.34,559.839,Inundation Boundary (19AUG2007 00 00 00 Value_0).tif
2008-08-21,3.34,537.869,Inundation Boundary (21AUG2008 00 00 00 Value_0).tif
2001-09-13,3.34,500.7,Inundation Boundary (13SEP2001 00 00 00 Value_0).tif
2008-07-18,3.36,535.086,Inundation Boundary (18JUL2008 00 00 00 Value_0).tif
2010-07-20,3.37,454.023,Inundation Boundary (20JUL2010 00 00 00 Value_0).tif
2007-09-19,3.39,622.691,Inundation Boundary (19SEP2007 00 00 00 Value_0).tif
2008-08-30,3.395,542.615,Inundation Boundary (30AUG2008 00 00 00 Value_0).tif
2007-07-17,3.4,1041.229,Inundation Boundary (17JUL2007 00 00 00 Value_0).tif
2002-09-24,3.405,604.8,Inundation Boundary (24SEP2002 00 00 00 Value_0).tif
2004-08-06,3.415,520.5,Inundation Boundary (06AUG2004 00 00 00 Value_0).tif
2008-06-25,3.425,600.294,Inundation Boundary (25JUN2008 00 00 00 Value_0).tif
2004-09-24,3.445,573.1,Inundation Boundary (24SEP2004 00 00 00 Value_0).tif
2004-09-29,3.45,483.7,Inundation Boundary (29SEP2004 00 00 00 Value_0).tif
2010-07-24,3.46,495.821,Inundation Boundary (24JUL2010 00 00 00 Value_0).tif
2008-09-22,3.46,698.402,Inundation Boundary (22SEP2008 00 00 00 Value_0).tif
2001-08-07,3.48,636.0,Inundation Boundary (07AUG2001 00 00 00 Value_0).tif
2001-09-09,3.48,530.0,Inundation Boundary (09SEP2001 00 00 00 Value_0).tif
2009-09-22,3.48,495.428,Inundation Boundary (22SEP2009 00 00 00 Value_0).tif
2012-09-30,3.49,564.826,Inundation Boundary (30SEP2012 00 00 00 Value_0).tif
2003-07-07,3.5,696.7,Inundation Boundary (07JUL2003 00 00 00 Value_0).tif
2004-09-07,3.504,550.0,Inundation Boundary (07SEP2004 00 00 00 Value_0).tif
2004-09-20,3.51,505.5,Inundation Boundary (20SEP2004 00 00 00 Value_0).tif
2007-09-23,3.51,768.294,Inundation Boundary (23SEP2007 00 00 00 Value_0).tif
2010-09-30,3.515,588.103,Inundation Boundary (30SEP2010 00 00 00 Value_0).tif
2010-08-12,3.54,456.249,Inundation Boundary (12AUG2010 00 00 00 Value_0).tif
2002-08-10,3.545,410.1,Inundation Boundary (10AUG2002 00 00 00 Value_0).tif
2008-08-01,3.55,993.43,Inundation Boundary (01AUG2008 00 00 00 Value_0).tif
2008-07-11,3.55,1551.43,Inundation Boundary (11JUL2008 00 00 00 Value_0).tif
2007-08-15,3.56,712.063,Inundation Boundary (15AUG2007 00 00 00 Value_0).tif
2010-08-30,3.57,790.466,Inundation Boundary (30AUG2010 00 00 00 Value_0).tif
2001-06-23,3.605,448.9,Inundation Boundary (23JUN2001 00 00 00 Value_0).tif
2007-09-14,3.605,715.102,Inundation Boundary (14SEP2007 00 00 00 Value_0).tif
2007-08-24,3.61,1096.35,Inundation Boundary (24AUG2007 00 00 00 Value_0).tif
2006-09-30,3.61,810.2,Inundation Boundary (30SEP2006 00 00 00 Value_0).tif
2005-09-03,3.62,641.33,Inundation Boundary (03SEP2005 00 00 00 Value_0).tif
2007-08-29,3.64,960.941,Inundation Boundary (29AUG2007 00 00 00 Value_0).tif
2005-09-13,3.65,786.192,Inundation Boundary (13SEP2005 00 00 00 Value_0).tif
2011-07-04,3.65,583.867,Inundation Boundary (04JUL2011 00 00 00 Value_0).tif
2001-08-03,3.66,500.0,Inundation Boundary (03AUG2001 00 00 00 Value_0).tif
2012-09-26,3.72,703.8,Inundation Boundary (26SEP2012 00 00 00 Value_0).tif
2009-09-03,3.72,1508.662,Inundation Boundary (03SEP2009 00 00 00 Value_0).tif
2003-08-05,3.78,817.2,Inundation Boundary (05AUG2003 00 00 00 Value_0).tif
2005-09-07,3.795,804.698,Inundation Boundary (07SEP2005 00 00 00 Value_0).tif
2001-09-04,3.8,998.7,Inundation Boundary (04SEP2001 00 00 00 Value_0).tif
2010-08-26,3.81,680.395,Inundation Boundary (26AUG2010 00 00 00 Value_0).tif
2012-07-27,3.81,1214.573,Inundation Boundary (27JUL2012 00 00 00 Value_0).tif
2007-09-05,3.83,735.398,Inundation Boundary (05SEP2007 00 00 00 Value_0).tif
